#
# This file created with command: /sw/opt/R/3.2.2/bin/Rscript /cluster/gjb_lab/pschofield/Projects/grna_dag/Github_cleanup/DE_tool_scripts/samseq.R /cluster/gjb_lab/pschofield/scratch/NOBACK//samseq/samseq_package_default//R_exprsFile.txt /cluster/gjb_lab/pschofield/scratch/NOBACK//samseq/samseq_package_default//R_phenoFile.txt "                      "/cluster/gjb_lab/pschofield/scratch/NOBACK//samseq/samseq_package_default.db
# Output created at: 07:24:50
GeneID	log2foldchange	significance	Score	GeneName	Description	Chromosome	Start	End	Strand
YJL225C	-0.176984088877352	0.000299927378358693	-319.6	YJL225C	Putative protein of unknown function; similarity to DNA helicases that are also encoded within subtelomeric Y' elements and induced in telomerase deficient survivors 	X	466	6130	-1
YJR001W	-0.0554105532949362	0.00820842411038494	-191.2	AVT1	Vacuolar transporter, imports large neutral amino acids into the vacuole; member of a family of seven S. cerevisiae genes (AVT1-7) related to vesicular GABA-glycine transporters 	X	436802	438610	1
YJR002W	0.399109307602158	0.000145243282498184	616.1	MPP10	Component of the SSU processome and 90S preribosome, required for pre-18S rRNA processing, interacts with and controls the stability of Imp3p and Imp4p, essential for viability; similar to human Mpp10p 	X	438865	440646	1
YJR003C	0.342508912999591	0.000145243282498184	522.1	YJR003C	Putative protein of unknown function; detected in highly purified mitochondria in high-throughput studies; predicted to be involved in ribosome biogenesis 	X	440994	442553	-1
YJR004C	-0.068535629503351	0.0384197530864198	-139.1	SAG1	Alpha-agglutinin of alpha-cells, binds to Aga1p during agglutination, N-terminal half is homologous to the immunoglobulin superfamily and contains binding site for a-agglutinin, C-terminal half is highly glycosylated and contains GPI anchor 	X	442909	444861	-1
YJR005C-A	-0.329419035440259	0.000148148148148212	-383.25	YJR005C-A	Putative protein of unknown function, originally identified as a syntenic homolog of an <i>Ashbya gossypii</i> gene 	X	448477	448758	-1
YJR005W	0.204375262033555	0.000145243282498184	428.9	APL1	Beta-adaptin, large subunit of the clathrin associated protein complex (AP-2); involved in vesicle mediated transport; similar to mammalian beta-chain of the clathrin associated protein complex 	X	445923	448025	1
YJR006W	-0.0445967856222735	0.0223667392883079	-157.25	POL31	Subunit of DNA polymerase delta (polymerase III); essential for cell viability; involved in DNA replication and DNA repair 	X	449202	450665	1
YJR007W	0.20346268343692	0.000145243282498184	450.9	SUI2	Alpha subunit of the translation initiation factor eIF2, involved in the identification of the start codon; phosphorylation of Ser51 is required for regulation of translation by inhibiting the exchange of GDP for GTP 	X	451020	451934	1
YJR008W	0.300180060989642	0.000145243282498184	584.2	YJR008W	Putative protein of unknown function; expression repressed by inosine and choline in an Opi1p-dependent manner; expression induced by mild heat-stress on a non-fermentable carbon source. 	X	452430	453446	1
YJR009C	0.112562742490984	0.000146695715323198	395	TDH2	Glyceraldehyde-3-phosphate dehydrogenase, isozyme 2, involved in glycolysis and gluconeogenesis; tetramer that catalyzes the reaction of glyceraldehyde-3-phosphate to 1,3 bis-phosphoglycerate; detected in the cytoplasm and cell wall 	X	453683	454681	-1
YJR010C-A	0.0882811824723235	0.264842411038489	68.15	SPC1	Subunit of the signal peptidase complex (SPC), which cleaves the signal sequence from proteins targeted to the endoplasmic reticulum (ER), homolog of the SPC12 subunit of mammalian signal peptidase complex 	X	458077	458361	-1
YJR010W	-0.669676354325178	0.000145243282498184	-868.9	MET3	ATP sulfurylase, catalyzes the primary step of intracellular sulfate activation, essential for assimilatory reduction of sulfate to sulfide, involved in methionine metabolism 	X	456239	457774	1
YJR011C	-0.163107036034131	0.000978939724037732	-278.55	YJR011C	Putative protein of unknown function; GFP-fusion protein expression is induced in response to the DNA-damaging agent MMS 	X	458641	459426	-1
YJR012C	-0.0233004549470929	0.68897966594045	23.55	YJR012C	Essential protein of unknown function; proposed involvement in transport based on mass spectrometry analysis of copurifying proteins; partially overlaps neighboring ORF, GPI14/YJR013W 	X	459795	460418	-1
YJR013W	0.00358019695781116	0.9619651416122	2.8	GPI14	Glycosylphosphatidylinositol-alpha 1,4 mannosyltransferase I, involved in GPI anchor biosynthesis, requires Pbn1p for function; homolog of mammalian PIG-M 	X	460382	461593	1
YJR014W	-0.0197200909080338	0.358129992737836	-55.4	TMA22	Protein of unknown function; associates with ribosomes and has a putative RNA binding domain; interacts with Tma20p; similar to human GRAP and human DRP1, which interacts with human Tma20p homolog MCT-1 	X	461829	462425	1
YJR015W	0.192376059598719	0.000145243282498184	492.65	YJR015W	Putative protein of unknown function; localizes to the endoplasmic reticulum and cytoplasm; predicted to encode a membrane transporter based on phylogenetic analysis; YJR015W is a non-essential gene 	X	462721	464253	1
YJR016C	0.30229543475523	0.000145243282498184	762.9	ILV3	Dihydroxyacid dehydratase, catalyzes third step in the common pathway leading to biosynthesis of branched-chain amino acids 	X	464451	466208	-1
YJR017C	-0.199309805705212	0.000145243282498184	-412.3	ESS1	Peptidylprolyl-cis/trans-isomerase (PPIase) specific for phosphorylated serine and threonine residues N-terminal to proline; regulates phosphorylation of the RNA polymerase II large subunit (Rpo21p) C-terminal domain 	X	466521	467033	-1
YJR018W	-0.316409685632456	0.0361801016702978	-141.1	YJR018W	Dubious open reading frame unlikely to encode a functional protein, based on available experimental and comparative sequence data 	X	466786	467148	1
YJR019C	-0.0342568197522342	0.28658605664488	-64.9	TES1	Peroxisomal acyl-CoA thioesterase likely to be involved in fatty acid oxidation rather than fatty acid synthesis; conserved protein also found in human peroxisomes; TES1 mRNA levels increase during growth on fatty acids 	X	467232	468281	-1
YJR020W	-0.0111197147835609	0.172723311546841	-85	YJR020W	Dubious open reading frame unlikely to encode a functional protein, based on available experimental and comparative sequence data 	X	468001	468333	1
YJR021C	-0.0263948753340095	0.894619462599855	-7.75	REC107	Protein involved in early stages of meiotic recombination; involved in coordination between the initiation of recombination and the first division of meiosis; part of a complex (Rec107p-Mei4p-Rec114p) required for ds break formation 	X	468555	469579	-1
YJR022W	0.000351403003132183	0.678313725490196	-24.4	LSM8	Lsm (Like Sm) protein; forms heteroheptameric complex (with Lsm2p, Lsm3p, Lsm4p, Lsm5p, Lsm6p, and Lsm7p) that is part of spliceosomal U6 snRNP and is also implicated in processing of pre-tRNA, pre-snoRNA, and pre-rRNA 	X	469784	470113	1
YJR023C	0.259451205604347	0.251386347131445	70.25	YJR023C	Putative protein of unknown function; open reading frame overlaps LSM8/YJR022W encoding an essential snRNP protein required for RNA processing and splicing 	X	469804	470205	-1
YJR024C	0.0860427295942719	0.00430864197530864	215.25	MDE1	5'-methylthioribulose-1-phosphate dehydratase; acts in the methionine salvage pathway; potential Smt3p sumoylation substrate; expression downregulated by caspofungin and deletion mutant is caspofungin resistant 	X	470230	470964	-1
YJR025C	-0.414022184453316	0.000145243282498184	-716.15	BNA1	3-hydroxyanthranilic acid dioxygenase, required for the de novo biosynthesis of NAD from tryptophan via kynurenine; expression regulated by Hst1p 	X	471138	471671	-1
YJR027W	1.21870971046854	0.000145243282498184	902	YJR027W	Retrotransposon TYA Gag and TYB Pol genes; transcribed/translated as one unit; polyprotein is processed to make a nucleocapsid-like protein (Gag), reverse transcriptase (RT), protease (PR), and integrase (IN); similar to retroviral genes 	X	472760	478028	1
YJR029W	1.1868805395502	0.000145243282498184	902	YJR029W	Retrotransposon TYA Gag and TYB Pol genes; transcribed/translated as one unit; polyprotein is processed to make a nucleocapsid-like protein (Gag), reverse transcriptase (RT), protease (PR), and integrase (IN); similar to retroviral genes 	X	478344	483612	1
YJR030C	-0.00279092239946984	0.239405954974582	72.25	YJR030C	Putative protein of unknown function; expression repressed in carbon limited vs carbon replete chemostat cultures; YJR030C is a non-essential gene 	X	483959	486196	-1
YJR031C	0.0678948964876609	0.230443718228032	73.8	GEA1	Guanine nucleotide exchange factor for ADP ribosylation factors (ARFs), involved in vesicular transport between the Golgi and ER, Golgi organization, and actin cytoskeleton organization; similar to but not functionally redundant with Gea2p 	X	486586	490812	-1
YJR032W	0.0802836888043546	0.0355374001452433	141.7	CPR7	Peptidyl-prolyl cis-trans isomerase (cyclophilin), catalyzes the cis-trans isomerization of peptide bonds N-terminal to proline residues; binds to Hsp82p and contributes to chaperone activity 	X	491081	492262	1
YJR033C	0.02860291354957	0.128055918663762	96.4	RAV1	Subunit of the RAVE complex (Rav1p, Rav2p, Skp1p), which promotes assembly of the V-ATPase holoenzyme; required for transport between the early and late endosome/PVC and for localization of TGN membrane proteins; potential Cdc28p substrate 	X	492378	496451	-1
YJR034W	-0.00320101697323	0.430105301379811	47.15	PET191	Protein required for assembly of cytochrome c oxidase; exists as an oligomer that is integral to the mitochondrial inner membrane and faces the intermembrane space; contains a twin Cx9C motif 	X	496683	497009	1
YJR035W	-0.155566698036437	0.00142120551924471	-262.25	RAD26	Protein involved in transcription-coupled nucleotide excision repair of UV-induced DNA lesions; recruitment to DNA lesions is dependent on an elongating RNA polymerase II; homolog of human CSB protein 	X	497355	500612	1
YJR036C	-0.207963390583975	0.000201161946260017	-336.65	HUL4	Protein with similarity to hect domain E3 ubiquitin-protein ligases, not essential for viability 	X	500713	503391	-1
YJR037W	0.32239855328498	0.00263834422657952	236.1	YJR037W	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps verified gene HUL4/YJR036C; deletion mutant has decreased spore survival in Drosophila feces 	X	503102	503485	1
YJR038C	0.222472615816453	0.00262745098039218	236.4	YJR038C	Dubious open reading frame unlikely to encode a functional protein, based on available experimental and comparative sequence data 	X	503710	504072	-1
YJR039W	-0.124822658093623	0.000720406681191	-291	YJR039W	Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies 	X	503936	507301	1
YJR040W	-0.0283311339380892	0.181076252723312	-83.2	GEF1	Voltage-gated chloride channel localized to the golgi, the endosomal system, and plasma membrane, and involved in cation homeostasis; highly homologous to vertebrate voltage-gated chloride channels 	X	507746	510085	1
YJR041C	0.421895971439734	0.000145243282498184	553.9	URB2	Nucleolar protein required for normal metabolism of the rRNA primary transcript, proposed to be involved in ribosome biogenesis 	X	510239	513763	-1
YJR042W	0.205738287369764	0.000145243282498184	456.5	NUP85	Subunit of the Nup84p subcomplex of the nuclear pore complex (NPC); required for assembly of the subcomplex and also for formation of the nucleocytoplasmic Gsp1p concentration gradient that plays a role in nuclear trafficking; the Nup84 subcomplex h /.../ole in transcription elongation 	X	514055	516289	1
YJR043C	-0.0514306909892729	0.00400798838053744	-218.15	POL32	Third subunit of DNA polymerase delta, involved in chromosomal DNA replication; required for error-prone DNA synthesis in the presence of DNA damage and processivity; interacts with Hys2p, PCNA (Pol30p), and Pol1p 	X	516461	517513	-1
YJR044C	-0.103212630042456	0.10962672476398	-102.15	VPS55	Late endosomal protein involved in late endosome to vacuole trafficking; functional homolog of human obesity receptor gene-related protein (OB-RGRP) 	X	518763	519185	-1
YJR045C	0.354537721949337	0.000145243282498184	866.8	SSC1	Hsp70 family ATPase, constituent of the import motor component of the Translocase of the Inner Mitochondrial membrane (TIM23 complex); involved in protein translocation and folding; subunit of SceI endonuclease 	X	519638	521602	-1
YJR046W	0.206774399892688	0.000148148148148212	386	TAH11	DNA replication licensing factor, required for pre-replication complex assembly 	X	522048	523862	1
YJR047C	0.4574047948087	0.000145243282498184	706.75	ANB1	Translation elongation factor eIF-5A, previously thought to function in translation initiation; similar to and functionally redundant with Hyp2p; undergoes an essential hypusination modification; expressed under anaerobic conditions 	X	524908	525381	-1
YJR048W	0.431137506585654	0.000145243282498184	644.7	CYC1	Cytochrome c, isoform 1; electron carrier of the mitochondrial intermembrane space that transfers electrons from ubiquinone-cytochrome c oxidoreductase to cytochrome c oxidase during cellular respiration 	X	526335	526664	1
YJR049C	-0.0749719400127198	0.00443500363108204	-214.2	UTR1	ATP-NADH kinase; phosphorylates both NAD and NADH; active as a hexamer; enhances the activity of ferric reductase (Fre1p) 	X	526884	528476	-1
YJR050W	-0.124380858016181	0.000676833696441518	-293.35	ISY1	Member of NineTeen Complex (NTC) that contains Prp19p and stabilizes U6 snRNA in catalytic forms of spliceosome containing U2, U5, and U6 snRNAs, interacts with Prp16p to modulate splicing fidelity; isy1 syf2 cells have defective spindles 	X	528697	529404	1
YJR051W	-0.12267216328124	0.000563543936092972	-298.7	OSM1	Fumarate reductase, catalyzes the reduction of fumarate to succinate, required for the reoxidation of intracellular NADH under anaerobic conditions; mutations cause osmotic sensitivity 	X	529861	531366	1
YJR052W	-0.295179720753005	0.000145243282498184	-623.85	RAD7	Protein that recognizes and binds damaged DNA in an ATP-dependent manner (with Rad16p) during nucleotide excision repair; subunit of Nucleotide Excision Repair Factor 4 (NEF4) and the Elongin-Cullin-Socs (ECS) ligase complex 	X	532062	533759	1
YJR053W	0.295955207070092	0.000242556281771979	328.8	BFA1	Component of the GTPase-activating Bfa1p-Bub2p complex involved in multiple cell cycle checkpoint pathways that control exit from mitosis 	X	534027	535751	1
YJR054W	-0.240950613622835	0.000145243282498184	-432.9	YJR054W	Vacuolar protein of unknown function; potential Cdc28p substrate 	X	536056	537549	1
YJR055W	0.191818494625302	0.00568482207697899	204.1	HIT1	Protein of unknown function, required for growth at high temperature 	X	538772	539266	1
YJR056C	0.0852578269698008	0.596059549745824	31.35	YJR056C	Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to both the cytoplasm and the nucleus 	X	541792	542502	-1
YJR057W	-0.0825194927888432	0.0100726216412491	-184.2	CDC8	Thymidylate and uridylate kinase, functions in de novo biosynthesis of pyrimidine deoxyribonucleotides; converts dTMP to dTDP and dUMP to dUTP; essential for mitotic and meiotic DNA replication; homologous to S. pombe Tmp1p 	X	544062	544712	1
YJR058C	-0.183745182981799	0.000146695715323198	-391.85	APS2	Small subunit of the clathrin-associated adaptor complex AP-2, which is involved in protein sorting at the plasma membrane; related to the sigma subunit of the mammalian plasma membrane clathrin-associated protein (AP-2) complex 	X	544732	545175	-1
YJR059W	0.264694614144374	0.000145243282498184	678.2	PTK2	Putative serine/threonine protein kinase involved in regulation of ion transport across plasma membrane; enhances spermine uptake 	X	545787	548243	1
YJR060W	0.085373850979074	0.00071023965141617	291.5	CBF1	Dual function helix-loop-helix protein; binds the motif CACRTG present at several sites including MET gene promoters and centromere DNA element I (CDEI); affects nucleosome positioning at this motif; associates with other transcription factors such  /.../4p and Isw1p to mediate transcriptional activation or repression; associates with kinetochore proteins and required for efficient chromosome segregation 	X	548759	549814	1
YJR061W	-0.011645477922642	0.360131445170661	-55.15	YJR061W	Putative protein of unknown function; non-essential gene with similarity to Mnn4, a putative membrane protein involved in glycosylation; transcription repressed by Rm101p 	X	550511	553318	1
YJR062C	-0.0578553466975251	0.087954248366013	-110.2	NTA1	Amidase, removes the amide group from N-terminal asparagine and glutamine residues to generate proteins with N-terminal aspartate and glutamate residues that are targets of ubiquitin-mediated degradation 	X	553476	554849	-1
YJR063W	0.430635893006037	0.000145243282498184	561.25	RPA12	RNA polymerase I subunit A12.2; contains two zinc binding domains, and the N terminal domain is responsible for anchoring to the RNA pol I complex 	X	555195	555572	1
YJR064W	0.232255578777425	0.000145243282498184	569.35	CCT5	Subunit of the cytosolic chaperonin Cct ring complex, related to Tcp1p, required for the assembly of actin and tubulins in vivo 	X	555914	557602	1
YJR065C	-0.0127350861396791	0.840355846042121	11.8	ARP3	Essential component of the Arp2/3 complex, which is a highly conserved actin nucleation center required for the motility and integrity of actin patches; involved in endocytosis and membrane growth and polarity 	X	557809	559158	-1
YJR066W	0.113839445393557	0.00058896151053018	297.7	TOR1	PIK-related protein kinase and rapamycin target; subunit of TORC1, a complex that controls growth in response to nutrients by regulating translation, transcription, ribosome biogenesis, nutrient transport and autophagy; involved in meiosis 	X	559416	566828	1
YJR067C	-0.000281388153359505	0.541448801742919	36.2	YAE1	Protein of unknown function, essential for growth under standard (aerobic) conditions but not under anaerobic conditions 	X	567019	567444	-1
YJR068W	-0.0521344336047367	0.0484255628177197	-131.1	RFC2	Subunit of heteropentameric Replication factor C (RF-C), which is a DNA binding protein and ATPase that acts as a clamp loader of the proliferating cell nuclear antigen (PCNA) processivity factor for DNA polymerases delta and epsilon 	X	567643	568704	1
YJR069C	0.205378160788231	0.000145243282498184	495.15	HAM1	Conserved protein with deoxyribonucleoside triphosphate pyrophosphohydrolase activity, mediates exclusion of noncanonical purines from deoxyribonucleoside triphosphate pools; mutant is sensitive to the base analog 6-N-hydroxylaminopurine 	X	568806	569399	-1
YJR070C	0.722538675667672	0.000145243282498184	873.55	LIA1	Deoxyhypusine hydroxylase, a HEAT-repeat containing metalloenzyme that catalyzes hypusine formation; binds to and is required for the modification of Hyp2p (eIF5A); complements S. pombe mmd1 mutants defective in mitochondrial positioning 	X	569621	570598	-1
YJR071W	0.577201159065126	0.000233841684822029	330.6	YJR071W	Dubious open reading frame unlikely to encode a functional protein, based on available experimental and comparative sequence data 	X	570405	570773	1
YJR072C	0.109075522779562	0.000293391430646396	320.9	NPA3	Member of the conserved GPN-loop GTPase family; has a role in transport of RNA polymerase II to the nucleus; exhibits GTP-dependent binding to PolII; has ATPase activity; involved in sister chromatid cohesion; phosphorylated by the Pcl1p-Pho85p kina /.../plex; human homolog XAB1 interacts with human RNA polymerase II 	X	570967	572124	-1
YJR073C	0.190600583763651	0.000146695715323198	388.75	OPI3	Phospholipid methyltransferase (methylene-fatty-acyl-phospholipid synthase), catalyzes the last two steps in phosphatidylcholine biosynthesis 	X	572315	572935	-1
YJR074W	-0.123346513608545	0.00470515613652875	-211.6	MOG1	Conserved nuclear protein that interacts with GTP-Gsp1p, which is a Ran homolog of the Ras GTPase family, and stimulates nucleotide release, involved in nuclear protein import, nucleotide release is inhibited by Yrb1p 	X	573095	573751	1
YJR075W	0.0997310838817464	0.00124328249818452	268.65	HOC1	Alpha-1,6-mannosyltransferase involved in cell wall mannan biosynthesis; subunit of a Golgi-localized complex that also contains Anp1p, Mnn9p, Mnn11p, and Mnn10p; identified as a suppressor of a cell lysis sensitive pkc1-371 allele 	X	573981	575171	1
YJR076C	0.00985312705097661	0.379750181554103	52.8	CDC11	Component of the septin ring that is required for cytokinesis; septins are GTP-binding proteins that assemble into rod-like hetero-oligomers that can associate with other rods to form filaments; septin rings at the mother-bud neck act as scaffolds f /.../ruiting cell division factors and as barriers to prevent diffusion of specific proteins between mother and daughter cells 	X	575354	576601	-1
YJR077C	-0.131894376899145	0.000145243282498184	-409.8	MIR1	Mitochondrial phosphate carrier, imports inorganic phosphate into mitochondria; functionally redundant with Pic2p but more abundant than Pic2p under normal conditions; phosphorylated 	X	577255	578190	-1
YJR078W	-0.861965626955696	0.000145243282498184	-811.15	BNA2	Putative tryptophan 2,3-dioxygenase or indoleamine 2,3-dioxygenase, required for de novo biosynthesis of NAD from tryptophan via kynurenine; interacts genetically with telomere capping gene CDC13; regulated by Hst1p and Aftp 	X	578860	580221	1
YJR079W	-0.318522025951609	0.000556281771968036	-299.05	YJR079W	Putative protein of unknown function; mutation results in impaired mitochondrial respiration 	X	580205	581239	1
YJR080C	-0.0375096551373702	0.132454611474219	-95.1	AIM24	Protein of unknown function; the authentic, non-tagged protein is detected in purified mitochondria in high-throughput studies; null mutant displays reduced respiratory growth and elevated frequency of mitochondrial genome loss 	X	580432	581616	-1
YJR082C	0.088240953580595	0.00417066085693539	216.75	EAF6	Subunit of the NuA4 acetyltransferase complex that acetylates histone H4 and NuA3 acetyltransferase complex that acetylates histone H3 	X	581914	582255	-1
YJR083C	-0.00414019474197471	0.96262381989833	-2.75	ACF4	Protein of unknown function, computational analysis of large-scale protein-protein interaction data suggests a possible role in actin cytoskeleton organization; potential Cdc28p substrate 	X	582608	583537	-1
YJR084W	0.0224584147773668	0.496978939724038	40.4	YJR084W	Protein that forms a complex with Thp3p; may have a role in transcription elongation and/or mRNA splicing; identified as a COP9 signalosome component but phenotype and interactions suggest it may not be involved with the signalosome 	X	583733	585004	1
YJR085C	-0.200605965175982	0.000145243282498184	-415.5	YJR085C	Putative protein of unknown function; GFP-fusion protein is induced in response to the DNA-damaging agent MMS; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies 	X	585120	585437	-1
YJR086W	-0.12665683329841	0.00280029048656496	-233.7	STE18	G protein gamma subunit, forms a dimer with Ste4p to activate the mating signaling pathway, forms a heterotrimer with Gpa1p and Ste4p to dampen signaling; C-terminus is palmitoylated and farnesylated, which are required for normal signaling 	X	586068	586400	1
YJR087W	-0.00583137487682734	0.16243427741467	-87.4	YJR087W	Dubious open reading frame, unlikely to encode a protein; not conserved in closely related Saccharomyces species; partially overlaps the verified genes STE18 and ECM2 	X	586400	586750	1
YJR088C	0.0386144450007713	0.14683079157589	91.25	EMC2	Member of a transmembrane complex required for efficient folding of proteins in the ER; null mutant displays induction of the unfolded protein response 	X	586495	587373	-1
YJR089W	-0.0840796760143708	0.0151830065359477	-170.3	BIR1	Subunit of chromosomal passenger complex (CPC; Ipl1p-Sli15p-Bir1p-Nbl1p), which regulates chromosome segregation; required for chromosome bi-orientation and for spindle assembly checkpoint activation upon reduced sister kinetochore tension 	X	587718	590582	1
YJR090C	0.104341172730756	0.00226143790849669	242.8	GRR1	F-box protein component of the SCF ubiquitin-ligase complex; involved in carbon catabolite repression, glucose-dependent divalent cation transport, high-affinity glucose transport, morphogenesis, and sulfite detoxification 	X	590872	594327	-1
YJR091C	0.128109284810752	0.000145243282498184	405.5	JSN1	Member of the Puf family of RNA-binding proteins, interacts with mRNAs encoding membrane-associated proteins; involved in localizing the Arp2/3 complex to mitochondria; overexpression causes increased sensitivity to benomyl 	X	595061	598336	-1
YJR092W	0.0426325308112661	0.175465504720407	84.4	BUD4	Involved in bud-site selection and required for the axial budding pattern; localizes with septins to bud neck in mitosis and may constitute an axial landmark for next round of budding; required for the formation of a double septin ring, and generall /.../the organization of septin structures; potential Cdc28p substrate 	X	598735	603078	1
YJR093C	-0.0658060690768634	0.0105076252723312	-182.65	FIP1	Subunit of cleavage polyadenylation factor (CPF), interacts directly with poly(A) polymerase (Pap1p) to regulate its activity; bridging factor that links Pap1p and the CPF complex via Yth1p 	X	603220	604203	-1
YJR094C	-0.276646714161478	0.000148148148148212	-383.2	IME1	Master regulator of meiosis that is active only during meiotic events, activates transcription of early meiotic genes through interaction with Ume6p, degraded by the 26S proteasome following phosphorylation by Ime2p 	X	604569	605651	-1
YJR094W-A	0.175748196312635	0.000145243282498184	530.3	RPL43B	Protein component of the large (60S) ribosomal subunit, identical to Rpl43Ap and has similarity to rat L37a ribosomal protein 	X	608305	608858	1
YJR095W	-0.995235841603141	0.000145243282498184	-731.85	SFC1	Mitochondrial succinate-fumarate transporter, transports succinate into and fumarate out of the mitochondrion; required for ethanol and acetate utilization 	X	609773	610741	1
YJR096W	-0.0982789453640827	0.00771169208424114	-193.45	YJR096W	Putative xylose and arabinose reductase; member of the aldo-keto reductase (AKR) family; GFP-fusion protein is induced in response to the DNA-damaging agent MMS 	X	611195	612043	1
YJR097W	0.408566853927928	0.000146695715323198	393.7	JJJ3	Protein of unknown function, contains a J-domain, which is a region with homology to the E. coli DnaJ protein 	X	612413	612931	1
YJR098C	0.00247427303543534	0.83899128540305	11.9	YJR098C	Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies 	X	613186	615156	-1
YJR099W	-0.0799598473214618	0.100281771968046	-105.35	YUH1	Ubiquitin C-terminal hydrolase that cleaves ubiquitin-protein fusions to generate monomeric ubiquitin; hydrolyzes the peptide bond at the C-terminus of ubiquitin; also the major processing enzyme for the ubiquitin-like protein Rub1p 	X	615576	616286	1
YJR100C	-0.0292174056538039	0.457559912854031	-44.3	AIM25	Putative protein of unknown function; non-tagged protein is detected in purified mitochondria in high-throughput studies; similar to murine NOR1; null mutant is viable and displays elevated frequency of mitochondrial genome loss 	X	616351	617334	-1
YJR101W	0.245379105752555	0.000145243282498184	481.8	RSM26	Mitochondrial ribosomal protein of the small subunit 	X	618234	619034	1
YJR102C	0.0100990144363627	0.887906318082789	8.25	VPS25	Component of the ESCRT-II complex, which is involved in ubiquitin-dependent sorting of proteins into the endosome 	X	619157	619765	-1
YJR103W	-0.0335948410235912	0.640256354393609	-27.55	URA8	Minor CTP synthase isozyme (see also URA7), catalyzes the ATP-dependent transfer of the amide nitrogen from glutamine to UTP, forming CTP, the final step in de novo biosynthesis of pyrimidines; involved in phospholipid biosynthesis 	X	620754	622490	1
YJR104C	0.340679606086515	0.000145243282498184	781.5	SOD1	Cytosolic copper-zinc superoxide dismutase; some mutations are analogous to those that cause ALS (amyotrophic lateral sclerosis) in humans 	X	622550	623014	-1
YJR105W	0.00240351086057741	0.514660130718954	-38.7	ADO1	Adenosine kinase, required for the utilization of S-adenosylmethionine (AdoMet); may be involved in recycling adenosine produced through the methyl cycle 	X	623581	624603	1
YJR106W	0.126752111008061	0.00193100944081337	249.5	ECM27	Putative protein of unknown function; may play a role in cell wall biosynthesis, mutants are hypersensitive to Papulacandin B; null mutants have increased plasmid loss; displays a two-hybrid interaction with Pdr5p 	X	624838	627015	1
YJR107W	-0.13090245237855	0.00178068264342777	-253.15	YJR107W	Putative protein of unknown function; has sequence or structural similarity to lipases 	X	627340	628326	1
YJR108W	0.153298343154762	0.0553819898329703	126.55	ABM1	Protein of unknown function, required for normal microtubule organization 	X	628712	629083	1
YJR109C	-0.182608631394455	0.0330493827160494	-144.15	CPA2	Large subunit of carbamoyl phosphate synthetase, which catalyzes a step in the synthesis of citrulline, an arginine precursor 	X	629585	632941	-1
YJR110W	-0.150822839307652	0.000222222222222185	-333.6	YMR1	Phosphatidylinositol 3-phosphate (PI3P) phosphatase; involved in various protein sorting pathways, including CVT targeting and endosome to vacuole transport; has similarity to the conserved myotubularin dual specificity phosphatase family 	X	633615	635681	1
YJR111C	0.0377423970058301	0.231792302106028	73.55	YJR111C	Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the mitochondria 	X	635855	636706	-1
YJR112W	-0.0540836366641198	0.0289012345679012	-148.75	NNF1	Essential component of the MIND kinetochore complex (Mtw1p Including Nnf1p-Nsl1p-Dsn1p) which joins kinetochore subunits contacting DNA to those contacting microtubules; required for accurate chromosome segregation 	X	637030	637635	1
YJR112W-A	-0.247502458781531	0.000145243282498184	-443.7	YJR112W-A	Putative protein of unknown function; identified based on homology to <i>Ashbya gossypii</i> 	X	637790	638168	1
YJR113C	-0.101413948602865	0.00327523602033409	-226.8	RSM7	Mitochondrial ribosomal protein of the small subunit, has similarity to E. coli S7 ribosomal protein 	X	638232	638975	-1
YJR114W	0.169247497173957	0.0629818445896877	122.05	YJR114W	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps the verified ORF RSM7/YJR113C 	X	638659	639051	1
YJR115W	0.344614853972762	0.000145243282498184	642.75	YJR115W	Putative protein of unknown function 	X	639942	640451	1
YJR116W	-0.153892779719215	0.000329702251270942	-316.05	TDA4	Putative protein of unknown function; null mutant is sensitive to expression of the top1-T722A allele 	X	640825	641664	1
YJR117W	-0.0563930717378052	0.011199709513435	-180.45	STE24	Highly conserved zinc metalloprotease that functions in two steps of a-factor maturation, C-terminal CAAX proteolysis and the first step of N-terminal proteolytic processing; contains multiple transmembrane spans 	X	642007	643368	1
YJR118C	-0.0580320313506941	0.0355374001452433	-141.7	ILM1	Protein of unknown function; may be involved in mitochondrial DNA maintenance; required for slowed DNA synthesis-induced filamentous growth 	X	643490	644101	-1
YJR119C	-0.114368222057337	0.0330493827160494	-144.15	JHD2	JmjC domain family histone demethylase specific for H3-K4 (histone H3 Lys4); removes methyl groups specifically added by Set1p methyltransferase; protein levels regulated by Not4p (E3 ubiquitin ligase) polyubiquitin-mediated degradation 	X	644304	646490	-1
